solution,mua,musp,n_int,f,phase,amplitude
96,0.46,1.0,1.4249999999999994,1.0,-0.25411790777671,0.014111885237463
97,0.46,1.0,1.4299999999999993,0.0,0.0,0.079828329057821
98,0.46,1.0,1.4299999999999993,0.02,-0.014082155758743,0.079366827793564
99,0.46,1.0,1.4299999999999993,0.075,-0.051828430751691,0.073901401912831
100,0.46,1.0,1.4299999999999993,0.15,-0.098038276118394,0.061267631227751
101,0.46,1.0,1.4299999999999993,0.5,-0.21077766062639,0.025655634603894
102,0.46,1.0,1.4299999999999993,1.0,-0.25411790777671,0.014111885237463
103,0.46,1.0,1.4349999999999992,0.0,0.0,0.079828329057821
104,0.46,1.0,1.4349999999999992,0.02,-0.014082155758743,0.079366827793564
105,0.46,1.0,1.4349999999999992,0.075,-0.051828430751691,0.073901401912831
106,0.46,1.0,1.4349999999999992,0.15,-0.098038276118394,0.061267631227751
107,0.46,1.0,1.4349999999999992,0.5,-0.21077766062639,0.025655634603894
108,0.46,1.0,1.4349999999999992,1.0,-0.25411790777671,0.014111885237463
109,0.46,1.0,1.439999999999999,0.0,0.0,0.079828329057821
110,0.46,1.0,1.439999999999999,0.02,-0.014082155758743,0.079366827793564
111,0.46,1.0,1.439999999999999,0.075,-0.051828430751691,0.073901401912831
112,0.46,1.0,1.439999999999999,0.15,-0.098038276118394,0.061267631227751
113,0.46,1.0,1.439999999999999,0.5,-0.21077766062639,0.025655634603894
114,0.46,1.0,1.439999999999999,1.0,-0.25411790777671,0.014111885237463
115,0.46,1.0,1.444999999999999,0.0,0.0,0.079828329057821
116,0.46,1.0,1.444999999999999,0.02,-0.014082155758743,0.079366827793564
117,0.46,1.0,1.444999999999999,0.075,-0.051828430751691,0.073901401912831
118,0.46,1.0,1.444999999999999,0.15,-0.098038276118394,0.061267631227751
119,0.46,1.0,1.444999999999999,0.5,-0.21077766062639,0.025655634603894
120,0.46,1.0,1.444999999999999,1.0,-0.25411790777671,0.014111885237463
121,0.46,1.5,1.4,0.0,0.0,0.11520300953847
122,0.46,1.5,1.4,0.02,-0.01052821730484,0.11473972225192
123,0.46,1.5,1.4,0.075,-0.03908234950131,0.10907924864708
124,0.46,1.5,1.4,0.15,-0.075774901591522,0.09465502754243
125,0.46,1.5,1.4,0.5,-0.18838275597353,0.041416706234573
126,0.46,1.5,1.4,1.0,-0.24165006080793,0.021402775373652
127,0.46,1.5,1.4049999999999998,0.0,0.0,0.11520300953847
128,0.46,1.5,1.4049999999999998,0.02,-0.01052821730484,0.11473972225192
129,0.46,1.5,1.4049999999999998,0.075,-0.03908234950131,0.10907924864708
130,0.46,1.5,1.4049999999999998,0.15,-0.075774901591522,0.09465502754243
131,0.46,1.5,1.4049999999999998,0.5,-0.18838275597353,0.041416706234573
132,0.46,1.5,1.4049999999999998,1.0,-0.24165006080793,0.021402775373652
133,0.46,1.5,1.4099999999999997,0.0,0.0,0.11520300953847
134,0.46,1.5,1.4099999999999997,0.02,-0.01052821730484,0.11473972225192
135,0.46,1.5,1.4099999999999997,0.075,-0.03908234950131,0.10907924864708
136,0.46,1.5,1.4099999999999997,0.15,-0.075774901591522,0.09465502754243
137,0.46,1.5,1.4099999999999997,0.5,-0.18838275597353,0.041416706234573
138,0.46,1.5,1.4099999999999997,1.0,-0.24165006080793,0.021402775373652
139,0.46,1.5,1.4149999999999996,0.0,0.0,0.11520300953847
140,0.46,1.5,1.4149999999999996,0.02,-0.01052821730484,0.11473972225192
141,0.46,1.5,1.4149999999999996,0.075,-0.03908234950131,0.10907924864708
142,0.46,1.5,1.4149999999999996,0.15,-0.075774901591522,0.09465502754243
143,0.46,1.5,1.4149999999999996,0.5,-0.18838275597353,0.041416706234573
144,0.46,1.5,1.4149999999999996,1.0,-0.24165006080793,0.021402775373652
145,0.46,1.5,1.4199999999999995,0.0,0.0,0.11520300953847
146,0.46,1.5,1.4199999999999995,0.02,-0.01052821730484,0.11473972225192
147,0.46,1.5,1.4199999999999995,0.075,-0.03908234950131,0.10907924864708
148,0.46,1.5,1.4199999999999995,0.15,-0.075774901591522,0.09465502754243
149,0.46,1.5,1.4199999999999995,0.5,-0.18838275597353,0.041416706234573
150,0.46,1.5,1.4199999999999995,1.0,-0.24165006080793,0.021402775373652
151,0.46,1.5,1.4249999999999994,0.0,0.0,0.11520300953847
152,0.46,1.5,1.4249999999999994,0.02,-0.01052821730484,0.11473972225192
153,0.46,1.5,1.4249999999999994,0.075,-0.03908234950131,0.10907924864708
154,0.46,1.5,1.4249999999999994,0.15,-0.075774901591522,0.09465502754243
155,0.46,1.5,1.4249999999999994,0.5,-0.18838275597353,0.041416706234573
156,0.46,1.5,1.4249999999999994,1.0,-0.24165006080793,0.021402775373652
157,0.46,1.5,1.4299999999999993,0.0,0.0,0.11520300953847
158,0.46,1.5,1.4299999999999993,0.02,-0.01052821730484,0.11473972225192
159,0.46,1.5,1.4299999999999993,0.075,-0.03908234950131,0.10907924864708
160,0.46,1.5,1.4299999999999993,0.15,-0.075774901591522,0.09465502754243
161,0.46,1.5,1.4299999999999993,0.5,-0.18838275597353,0.041416706234573
162,0.46,1.5,1.4299999999999993,1.0,-0.24165006080793,0.021402775373652
163,0.46,1.5,1.4349999999999992,0.0,0.0,0.11520300953847
164,0.46,1.5,1.4349999999999992,0.02,-0.01052821730484,0.11473972225192
165,0.46,1.5,1.4349999999999992,0.075,-0.03908234950131,0.10907924864708
166,0.46,1.5,1.4349999999999992,0.15,-0.075774901591522,0.09465502754243
167,0.46,1.5,1.4349999999999992,0.5,-0.18838275597353,0.041416706234573
168,0.46,1.5,1.4349999999999992,1.0,-0.24165006080793,0.021402775373652
169,0.46,1.5,1.439999999999999,0.0,0.0,0.11520300953847
170,0.46,1.5,1.439999999999999,0.02,-0.01052821730484,0.11473972225192
171,0.46,1.5,1.439999999999999,0.075,-0.03908234950131,0.10907924864708
172,0.46,1.5,1.439999999999999,0.15,-0.075774901591522,0.09465502754243
173,0.46,1.5,1.439999999999999,0.5,-0.18838275597353,0.041416706234573
174,0.46,1.5,1.439999999999999,1.0,-0.24165006080793,0.021402775373652
175,0.46,1.5,1.444999999999999,0.0,0.0,0.11520300953847
176,0.46,1.5,1.444999999999999,0.02,-0.01052821730484,0.11473972225192
177,0.46,1.5,1.444999999999999,0.075,-0.03908234950131,0.10907924864708
178,0.46,1.5,1.444999999999999,0.15,-0.075774901591522,0.09465502754243
179,0.46,1.5,1.444999999999999,0.5,-0.18838275597353,0.041416706234573
180,0.46,1.5,1.444999999999999,1.0,-0.24165006080793,0.021402775373652
181,0.46,2.0,1.4,0.0,0.0,0.14556259066027
182,0.46,2.0,1.4,0.02,-0.008397087483338,0.14512458480096
183,0.46,2.0,1.4,0.075,-0.031286581946237,0.13968170800884
184,0.46,2.0,1.4,0.15,-0.0613348564619,0.1250125305518
185,0.46,2.0,1.4,0.5,-0.16653287323917,0.059012750011954
186,0.46,2.0,1.4,1.0,-0.22923002132781,0.029304189372076
187,0.46,2.0,1.4049999999999998,0.0,0.0,0.14556259066027
188,0.46,2.0,1.4049999999999998,0.02,-0.008397087483338,0.14512458480096
189,0.46,2.0,1.4049999999999998,0.075,-0.031286581946237,0.13968170800884
190,0.46,2.0,1.4049999999999998,0.15,-0.0613348564619,0.1250125305518
191,0.46,2.0,1.4049999999999998,0.5,-0.16653287323917,0.059012750011954
192,0.46,2.0,1.4049999999999998,1.0,-0.22923002132781,0.029304189372076
193,0.46,2.0,1.4099999999999997,0.0,0.0,0.14556259066027
194,0.46,2.0,1.4099999999999997,0.02,-0.008397087483338,0.14512458480096
195,0.46,2.0,1.4099999999999997,0.075,-0.031286581946237,0.13968170800884
196,0.46,2.0,1.4099999999999997,0.15,-0.0613348564619,0.1250125305518
197,0.46,2.0,1.4099999999999997,0.5,-0.16653287323917,0.059012750011954
198,0.46,2.0,1.4099999999999997,1.0,-0.22923002132781,0.029304189372076
199,0.46,2.0,1.4149999999999996,0.0,0.0,0.14556259066027
200,0.46,2.0,1.4149999999999996,0.02,-0.008397087483338,0.14512458480096
201,0.46,2.0,1.4149999999999996,0.075,-0.031286581946237,0.13968170800884
202,0.46,2.0,1.4149999999999996,0.15,-0.0613348564619,0.1250125305518
203,0.46,2.0,1.4149999999999996,0.5,-0.16653287323917,0.059012750011954
204,0.46,2.0,1.4149999999999996,1.0,-0.22923002132781,0.029304189372076
205,0.46,2.0,1.4199999999999995,0.0,0.0,0.14556259066027
206,0.46,2.0,1.4199999999999995,0.02,-0.008397087483338,0.14512458480096
207,0.46,2.0,1.4199999999999995,0.075,-0.031286581946237,0.13968170800884
208,0.46,2.0,1.4199999999999995,0.15,-0.0613348564619,0.1250125305518
209,0.46,2.0,1.4199999999999995,0.5,-0.16653287323917,0.059012750011954
210,0.46,2.0,1.4199999999999995,1.0,-0.22923002132781,0.029304189372076
211,0.46,2.0,1.4249999999999994,0.0,0.0,0.14556259066027
212,0.46,2.0,1.4249999999999994,0.02,-0.008397087483338,0.14512458480096
213,0.46,2.0,1.4249999999999994,0.075,-0.031286581946237,0.13968170800884
214,0.46,2.0,1.4249999999999994,0.15,-0.0613348564619,0.1250125305518
215,0.46,2.0,1.4249999999999994,0.5,-0.16653287323917,0.059012750011954
216,0.46,2.0,1.4249999999999994,1.0,-0.22923002132781,0.029304189372076
217,0.46,2.0,1.4299999999999993,0.0,0.0,0.14556259066027
218,0.46,2.0,1.4299999999999993,0.02,-0.008397087483338,0.14512458480096
219,0.46,2.0,1.4299999999999993,0.075,-0.031286581946237,0.13968170800884
220,0.46,2.0,1.4299999999999993,0.15,-0.0613348564619,0.1250125305518
221,0.46,2.0,1.4299999999999993,0.5,-0.16653287323917,0.059012750011954
222,0.46,2.0,1.4299999999999993,1.0,-0.22923002132781,0.029304189372076
223,0.46,2.0,1.4349999999999992,0.0,0.0,0.14556259066027
224,0.46,2.0,1.4349999999999992,0.02,-0.008397087483338,0.14512458480096
225,0.46,2.0,1.4349999999999992,0.075,-0.031286581946237,0.13968170800884
226,0.46,2.0,1.4349999999999992,0.15,-0.0613348564619,0.1250125305518
227,0.46,2.0,1.4349999999999992,0.5,-0.16653287323917,0.059012750011954
228,0.46,2.0,1.4349999999999992,1.0,-0.22923002132781,0.029304189372076
229,0.46,2.0,1.439999999999999,0.0,0.0,0.14556259066027
230,0.46,2.0,1.439999999999999,0.02,-0.008397087483338,0.14512458480096
231,0.46,2.0,1.439999999999999,0.075,-0.031286581946237,0.13968170800884
232,0.46,2.0,1.439999999999999,0.15,-0.0613348564619,0.1250125305518
233,0.46,2.0,1.439999999999999,0.5,-0.16653287323917,0.059012750011954
234,0.46,2.0,1.439999999999999,1.0,-0.22923002132781,0.029304189372076
235,0.46,2.0,1.444999999999999,0.0,0.0,0.14556259066027
236,0.46,2.0,1.444999999999999,0.02,-0.008397087483338,0.14512458480096
237,0.46,2.0,1.444999999999999,0.075,-0.031286581946237,0.13968170800884
238,0.46,2.0,1.444999999999999,0.15,-0.0613348564619,0.1250125305518
239,0.46,2.0,1.444999999999999,0.5,-0.16653287323917,0.059012750011954
240,0.46,2.0,1.444999999999999,1.0,-0.22923002132781,0.029304189372076
241,0.46,2.5,1.4,0.0,0.0,0.17195930088664
242,0.46,2.5,1.4,0.02,-0.0069829203149038,0.17155242160021
243,0.46,2.5,1.4,0.075,-0.026067950558343,0.16644309442121
244,0.46,2.5,1.4,0.15,-0.051406574452319,0.15216920514325
245,0.46,2.5,1.4,0.5,-0.14734017859882,0.077636762617996
246,0.46,2.5,1.4,1.0,-0.21638939309173,0.037945528116956
247,0.46,2.5,1.4049999999999998,0.0,0.0,0.17195930088664
248,0.46,2.5,1.4049999999999998,0.02,-0.0069829203149038,0.17155242160021
249,0.46,2.5,1.4049999999999998,0.075,-0.026067950558343,0.16644309442121
250,0.46,2.5,1.4049999999999998,0.15,-0.051406574452319,0.15216920514325
251,0.46,2.5,1.4049999999999998,0.5,-0.14734017859882,0.077636762617996
252,0.46,2.5,1.4049999999999998,1.0,-0.21638939309173,0.037945528116956
253,0.46,2.5,1.4099999999999997,0.0,0.0,0.17195930088664
254,0.46,2.5,1.4099999999999997,0.02,-0.0069829203149038,0.17155242160021
255,0.46,2.5,1.4099999999999997,0.075,-0.026067950558343,0.16644309442121
256,0.46,2.5,1.4099999999999997,0.15,-0.051406574452319,0.15216920514325
257,0.46,2.5,1.4099999999999997,0.5,-0.14734017859882,0.077636762617996
258,0.46,2.5,1.4099999999999997,1.0,-0.21638939309173,0.037945528116956
259,0.46,2.5,1.4149999999999996,0.0,0.0,0.17195930088664
260,0.46,2.5,1.4149999999999996,0.02,-0.0069829203149038,0.17155242160021
261,0.46,2.5,1.4149999999999996,0.075,-0.026067950558343,0.16644309442121
262,0.46,2.5,1.4149999999999996,0.15,-0.051406574452319,0.15216920514325
263,0.46,2.5,1.4149999999999996,0.5,-0.14734017859882,0.077636762617996
264,0.46,2.5,1.4149999999999996,1.0,-0.21638939309173,0.037945528116956
265,0.46,2.5,1.4199999999999995,0.0,0.0,0.17195930088664
266,0.46,2.5,1.4199999999999995,0.02,-0.0069829203149038,0.17155242160021
267,0.46,2.5,1.4199999999999995,0.075,-0.026067950558343,0.16644309442121
268,0.46,2.5,1.4199999999999995,0.15,-0.051406574452319,0.15216920514325
269,0.46,2.5,1.4199999999999995,0.5,-0.14734017859882,0.077636762617996
270,0.46,2.5,1.4199999999999995,1.0,-0.21638939309173,0.037945528116956
271,0.46,2.5,1.4249999999999994,0.0,0.0,0.17195930088664
272,0.46,2.5,1.4249999999999994,0.02,-0.0069829203149038,0.17155242160021
273,0.46,2.5,1.4249999999999994,0.075,-0.026067950558343,0.16644309442121
274,0.46,2.5,1.4249999999999994,0.15,-0.051406574452319,0.15216920514325
275,0.46,2.5,1.4249999999999994,0.5,-0.14734017859882,0.077636762617996
276,0.46,2.5,1.4249999999999994,1.0,-0.21638939309173,0.037945528116956
277,0.46,2.5,1.4299999999999993,0.0,0.0,0.17195930088664
278,0.46,2.5,1.4299999999999993,0.02,-0.0069829203149038,0.17155242160021
279,0.46,2.5,1.4299999999999993,0.075,-0.026067950558343,0.16644309442121
280,0.46,2.5,1.4299999999999993,0.15,-0.051406574452319,0.15216920514325
281,0.46,2.5,1.4299999999999993,0.5,-0.14734017859882,0.077636762617996
282,0.46,2.5,1.4299999999999993,1.0,-0.21638939309173,0.037945528116956
283,0.46,2.5,1.4349999999999992,0.0,0.0,0.17195930088664
284,0.46,2.5,1.4349999999999992,0.02,-0.0069829203149038,0.17155242160021
285,0.46,2.5,1.4349999999999992,0.075,-0.026067950558343,0.16644309442121
286,0.46,2.5,1.4349999999999992,0.15,-0.051406574452319,0.15216920514325
287,0.46,2.5,1.4349999999999992,0.5,-0.14734017859882,0.077636762617996
288,0.46,2.5,1.4349999999999992,1.0,-0.21638939309173,0.037945528116956
289,0.46,2.5,1.439999999999999,0.0,0.0,0.17195930088664
290,0.46,2.5,1.439999999999999,0.02,-0.0069829203149038,0.17155242160021
291,0.46,2.5,1.439999999999999,0.075,-0.026067950558343,0.16644309442121
292,0.46,2.5,1.439999999999999,0.15,-0.051406574452319,0.15216920514325
293,0.46,2.5,1.439999999999999,0.5,-0.14734017859882,0.077636762617996
294,0.46,2.5,1.439999999999999,1.0,-0.21638939309173,0.037945528116956
295,0.46,2.5,1.444999999999999,0.0,0.0,0.17195930088664
296,0.46,2.5,1.444999999999999,0.02,-0.0069829203149038,0.17155242160021
297,0.46,2.5,1.444999999999999,0.075,-0.026067950558343,0.16644309442121
298,0.46,2.5,1.444999999999999,0.15,-0.051406574452319,0.15216920514325
299,0.46,2.5,1.444999999999999,0.5,-0.14734017859882,0.077636762617996
300,0.46,2.5,1.444999999999999,1.0,-0.21638939309173,0.037945528116956
301,0.46,3.0,1.4,0.0,0.0,0.1952251777654
302,0.46,3.0,1.4,0.02,-0.0059771828204905,0.19484887872076
303,0.46,3.0,1.4,0.075,-0.022339062688624,0.19009005266242
304,0.46,3.0,1.4,0.15,-0.044209128801757,0.17646167338871
305,0.46,3.0,1.4,0.5,-0.13121116533405,0.096596958849812
306,0.46,3.0,1.4,1.0,-0.20330249727108,0.047315407084012
307,0.46,3.0,1.4049999999999998,0.0,0.0,0.1952251777654
308,0.46,3.0,1.4049999999999998,0.02,-0.0059771828204905,0.19484887872076
309,0.46,3.0,1.4049999999999998,0.075,-0.022339062688624,0.19009005266242
310,0.46,3.0,1.4049999999999998,0.15,-0.044209128801757,0.17646167338871
311,0.46,3.0,1.4049999999999998,0.5,-0.13121116533405,0.096596958849812
312,0.46,3.0,1.4049999999999998,1.0,-0.20330249727108,0.047315407084012
313,0.46,3.0,1.4099999999999997,0.0,0.0,0.1952251777654
314,0.46,3.0,1.4099999999999997,0.02,-0.0059771828204905,0.19484887872076
315,0.46,3.0,1.4099999999999997,0.075,-0.022339062688624,0.19009005266242
316,0.46,3.0,1.4099999999999997,0.15,-0.044209128801757,0.17646167338871
317,0.46,3.0,1.4099999999999997,0.5,-0.13121116533405,0.096596958849812
318,0.46,3.0,1.4099999999999997,1.0,-0.20330249727108,0.047315407084012
